state,total_incidents,deaths,injured,total_casualties,armed_robbery,gang_involvement,home_invasion,domestic_violence,road_rage,mass_shooting,teen_incidents,drug_raid,suicide
Illinois,17556,3409,13514,16923,1041,1679,413,445,47,151,1091,287,151
California,16306,5562,7644,13206,785,1372,483,435,138,194,69,307,385
Florida,15029,3909,7072,10981,1304,101,800,782,254,116,87,603,390
Texas,13577,5046,6106,11152,1496,154,650,792,192,97,87,210,484
Ohio,10244,2508,5703,8211,1141,133,482,616,53,62,336,307,232
New York,9712,1705,5059,6764,713,235,420,288,58,78,66,739,165
Pennsylvania,8929,2395,5056,7451,625,33,436,444,91,65,57,272,230
Georgia,8925,2456,4056,6512,997,111,578,464,73,69,41,311,202
North Carolina,8739,2225,4629,6854,894,68,558,422,51,43,96,195,162
Louisiana,8103,2179,4398,6577,837,20,283,276,47,63,44,134,114
Tennessee,7626,1824,4478,6302,655,141,401,483,104,62,258,117,122
South Carolina,6939,1610,3084,4694,636,33,411,368,52,36,24,230,116
Missouri,6631,2136,3585,5721,439,11,305,273,58,52,37,163,159
Michigan,6136,1588,2990,4578,622,58,293,383,75,59,121,121,150
Massachusetts,5981,472,1701,2173,327,165,285,120,60,13,20,758,46
Virginia,5949,1459,3566,5025,546,43,283,274,39,42,225,84,136
Indiana,5852,1608,2956,4564,624,94,322,416,50,41,233,278,154
Maryland,5798,1691,3167,4858,371,18,105,101,18,37,8,381,74
Alabama,5471,1880,2998,4878,479,7,216,303,24,35,22,50,125
New Jersey,5387,1168,2540,3708,454,45,91,107,11,47,13,323,77
Wisconsin,4787,862,2117,2979,505,47,124,202,49,10,61,137,102
Kentucky,4157,1066,1894,2960,389,11,254,283,24,23,106,111,114
Mississippi,3599,1176,1883,3059,279,6,122,158,17,28,8,25,79
Oklahoma,3455,941,1550,2491,338,55,300,187,36,15,17,112,76
Washington,3434,853,1287,2140,233,182,193,250,51,19,51,130,118
Colorado,3201,796,1133,1929,159,63,134,126,52,14,16,95,117
District of Columbia,3195,459,1415,1874,452,1,8,8,3,26,3,5,7
Connecticut,3067,341,1258,1599,248,57,125,101,39,15,14,324,51
Arkansas,2842,773,1347,2120,229,6,124,113,15,11,3,47,63
Iowa,2517,273,821,1094,172,39,122,77,16,4,25,134,42
Minnesota,2408,461,916,1377,164,44,83,87,29,17,16,87,66
Arizona,2328,1094,1096,2190,137,28,114,142,39,20,11,23,111
Oregon,2286,446,694,1140,125,305,101,143,22,6,19,129,85
Kansas,2145,542,931,1473,143,36,124,82,22,15,8,59,57
Nevada,1952,799,951,1750,161,61,76,130,30,10,10,7,88
Delaware,1685,217,853,1070,196,9,83,17,8,7,6,127,9
Nebraska,1651,225,674,899,151,18,104,52,18,4,8,76,39
New Mexico,1645,495,543,1038,93,13,81,99,36,11,5,40,59
West Virginia,1575,335,649,984,123,1,106,155,4,3,13,71,36
Alaska,1349,267,325,592,52,4,73,113,6,1,5,53,68
Utah,1072,282,402,684,62,81,60,83,19,5,18,25,48
New Hampshire,964,88,144,232,65,6,48,64,37,0,5,97,37
Maine,907,112,132,244,39,0,55,113,12,2,3,80,36
Rhode Island,895,63,346,409,56,62,56,25,5,4,4,106,8
Idaho,661,166,149,315,29,14,36,46,12,0,7,46,38
Montana,638,154,136,290,17,1,18,64,18,2,3,18,37
North Dakota,573,69,130,199,23,2,29,26,4,0,1,47,18
South Dakota,544,90,114,204,26,0,23,20,6,2,4,39,14
Wyoming,494,73,52,125,6,0,5,24,3,0,2,11,19
Vermont,472,57,73,130,41,2,34,42,7,1,0,32,17
Hawaii,289,63,85,148,24,2,11,17,6,0,2,13,11
